district,constituency_name,constituency_no
"Bangalore Rural","Devanahalli",179
"Bangalore Rural","Doddaballapur",180
"Bangalore Rural","Hosakote",178
"Bangalore Rural","Nelamangala",181
"B.B.M.P (Central)","Chamrajapet",168
"B.B.M.P (Central)","Chickpet",169
"B.B.M.P (Central)","Gandhinagar",164
"B.B.M.P (Central)","Rajajinagar",165
"B.B.M.P (Central)","Rajarajeshwarinagar",154
"B.B.M.P (Central)","Shantinagar",163
"B.B.M.P (Central)","Shivajinagar",162
"B.B.M.P (North)","C.V. RamannNagar",161
"B.B.M.P (North)","Hebbal",158
"B.B.M.P (North)","K.R. Pura",151
"B.B.M.P (North)","Mahalakshmi Layout",156
"B.B.M.P (North)","Malleshwaram",157
"B.B.M.P (North)","Pulakeshinagar",159
"B.B.M.P (North)","Sarvagnanagar",160
"B.B.M.P (South)","B.T.M Layout",172
"B.B.M.P (South)","Basavanagudi",170
"B.B.M.P (South)","Bommanahalli",175
"B.B.M.P (South)","Govindarajanagar",166
"B.B.M.P (South)","Jayanagar",173
"B.B.M.P (South)","Padmanabanagar",171
"B.B.M.P (South)","Vijayanagar",167
"Bangalore Urban","Anekal",177
"Bangalore Urban","Bangalore South",176
"Bangalore Urban","Byatarayanapura",152
"Bangalore Urban","Dasarahalli",155
"Bangalore Urban","Mahadevapura",174
"Bangalore Urban","Yelahanka",150
"Bangalore Urban","Yeshwanthapura",153